run_id,run_path,generation,arm,seed,M1_acc_seen,M1_acc_unseen,M1_gap,M2_cv,M2_dead,M2_cv_multitask_only,M3_align,M3_purity,M3_align_1step,M3_align_best_s,M3_closed_map_error,M3_closed_map_coverage,M3_closed_map_error_matched,M4_routing_acc_seen,M4_routing_acc_unseen,M5_entropy,M5_dead,M6_soft_hard_gap,M7_drift_step1,M7_acc_teacher_forced,M7_recovery,acc_singleton,acc_ablate_all,params_composer,params_atoms_total,params_encoder,params_decoder,composer_over_atoms
A3b_2_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3b_2_s1234_b017073,v2,A3b,2,0.7825625,0.012604166666666666,0.7699583333333334,0.9680627818160665,0,0.9680627818160665,0.8512500035576522,0.8500000035855919,0.0018749999580904841,0.9959375038743019,0.4920128155499697,1,0.6927194725722075,0.6625,0.5625,0.9976274279083645,0,-0.0021875,0.7200574604670207,0.003541666666666667,-0.0090625,0.9953125,7.8125e-05,29376,2103552,51136,50762,0.013964950711938665
A3b_2_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3b_2_s5678_b017073,v2,A3b,2,0.80425,0.00020833333333333335,0.8040416666666667,0.9672433961282735,0,0.9672433961282735,0.9768749997019768,0.9768749997019768,0.0018749999580904841,0.9868749976158142,0.5043141022324562,1,0.6560632884502411,0.7499375,0.7083333333333334,0.9986440056978583,0,-0.00010416666666666667,0.7215815051396687,0.0014583333333333334,0.00125,0.97875,0.0,29376,2103552,51136,50762,0.013964950711938665
A3b_2_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A3b_2_s9012_b017073,v2,A3b,2,0.8183125,0.035208333333333335,0.7831041666666667,0.8756414726835153,0,0.8756414726835153,0.9856250062584877,0.9856250062584877,0.0,0.9871875047683716,0.5150118265300989,1,0.633853891864419,0.875,0.8541666666666666,0.9997488523874632,0,-0.0009375000000000008,0.6484325424830119,0.00010416666666666667,-0.035104166666666665,0.9821875,0.0,29376,2103552,51136,50762,0.013964950711938665
A4_0_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A4_0_s1234_b017073,v2,A4,0,0.0,0.0,0.0,,8,,0.0,0.0,0.0,0.0,0.3508273959159851,1,1.2370651364326477,0.2,0.0,0.9717760568011289,8,0.0,1.3614984353383381,0.0,0.0,0.0,0.0,29376,2103552,51136,50762,0.013964950711938665
A4_0_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A4_0_s5678_b017073,v2,A4,0,0.0,0.0,0.0,,8,,0.0,0.0,0.0,0.0,0.34265199303627014,1,1.2407248094677925,0.2,0.0,0.9824588356740789,8,0.0,1.3776626491546633,0.0,0.0,0.0,0.0,29376,2103552,51136,50762,0.013964950711938665
A4_0_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A4_0_s9012_b017073,v2,A4,0,0.0,0.0,0.0,,8,,0.0,0.0,0.0,0.0,0.32348179817199707,1,1.2317211776971817,0.2,0.0,0.976350712839815,8,0.0,1.3687983862559001,0.0,0.0,0.0,0.0,29376,2103552,51136,50762,0.013964950711938665
A4_1_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A4_1_s1234_b017073,v2,A4,1,0.0,0.0,0.0,,8,,0.0,0.0,0.0,0.0,0.35286641120910645,1,1.2218661829829216,0.2,0.0,0.9160529115736529,8,0.0,1.3612465699513754,0.0,0.0,0.0,0.0,29376,2103552,51136,50762,0.013964950711938665
A4_1_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A4_1_s5678_b017073,v2,A4,1,0.0,0.0,0.0,,8,,0.0,0.0,0.0,0.0,0.3505147285759449,1,1.2334446161985397,0.2,0.0,0.9814108567075308,8,0.0,1.3690367285410563,0.0,0.0,0.0,0.0,29376,2103552,51136,50762,0.013964950711938665
A4_1_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A4_1_s9012_b017073,v2,A4,1,0.0,0.0,0.0,,8,,0.0,0.0,0.0,0.0,0.35543372854590416,1,1.2426852509379387,0.2,0.0,0.9938794021343986,8,0.0,1.3741633860270184,0.0,0.0,0.0,0.0,29376,2103552,51136,50762,0.013964950711938665
A4_2_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A4_2_s1234_b017073,v2,A4,2,0.0,0.0,0.0,,8,,0.0,0.0,0.0,0.0,0.31975722685456276,1,1.2100154645740986,0.2,0.0,0.9842146465516535,8,0.0,1.3334509245554607,0.0,0.0,0.0,0.0,29376,2103552,51136,50762,0.013964950711938665
A4_2_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A4_2_s5678_b017073,v2,A4,2,0.0,0.0,0.0,,8,,0.0,0.0,0.0,0.0,0.3458482138812542,1,1.2149113789200783,0.2,0.0,0.8413502091546553,8,0.0,1.3656788126627604,0.0,0.0,0.0,0.0,29376,2103552,51136,50762,0.013964950711938665
A4_2_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A4_2_s9012_b017073,v2,A4,2,0.0,0.0,0.0,,8,,0.0,0.0,0.0,0.0,0.29545355029404163,1,1.196601651608944,0.2,0.0,0.8323835772928526,8,0.0,1.350358403523763,0.0,0.0,0.0,0.0,29376,2103552,51136,50762,0.013964950711938665
